Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,MA_7,MA_30
2025-04-17 00:00:00-04:00,196.3442601625108,197.9671917432912,193.5763250102755,196.12521362304688,52164700,0.0,0.0,0.013949748781774352,196.76100376674103,209.34060567220052
2025-04-21 00:00:00-04:00,192.43131586910096,192.9590147372882,188.9863237329868,192.32179260253903,46742500,0.0,0.0,-0.01939282028173095,195.95167541503903,207.81691335042316
2025-04-22 00:00:00-04:00,195.26892870764283,200.7151927551101,195.1195857124949,198.87322998046875,52976400,0.0,0.0,0.034064976668916724,197.27732413155692,206.8962595621745
2025-04-23 00:00:00-04:00,205.1060461943045,207.0973670311424,201.9199358938783,203.71212768554688,52929200,0.0,0.0,0.02433156893742483,198.19475446428572,206.3572748819987
2025-04-24 00:00:00-04:00,204.00086522918792,207.923769760626,202.05933042602183,207.46575927734372,47311000,0.0,0.0,0.018426156726373266,199.02684238978796,206.07151997884114
2025-04-25 00:00:00-04:00,205.4744504992001,208.8397878176709,205.30519003897632,208.371826171875,38222300,0.0,0.0,0.0043673081171917705,200.04241507393974,206.05824483235676
2025-04-28 00:00:00-04:00,209.088696522261,210.5821872117057,206.55972563953333,209.22808837890625,38743100,0.0,0.0,0.004109299336489736,202.29971967424666,205.94706268310546
2025-04-29 00:00:00-04:00,207.784388363366,211.31898611202763,207.46576971677675,210.29345703125,36827600,0.0,0.0,0.005091900712749453,204.3237544468471,205.8544667561849
2025-04-30 00:00:00-04:00,208.39172484027225,212.65315013853836,205.77313312562185,211.5778350830078,52286500,0.0,0.0,0.006107551180572157,207.07461765834265,205.84816080729166
2025-05-01 00:00:00-04:00,208.17271138967985,213.62892699621813,207.99348458901505,212.39431762695312,57365700,0.0,0.0,0.0038590173853749743,209.0062016078404,205.78443908691406
2025-05-02 00:00:00-04:00,205.19567188008236,206.0917754590827,201.2827333487594,204.4588928222656,101010600,0.0,0.0,-0.037361756629596954,209.11288234165735,205.4940383911133
2025-05-05 00:00:00-04:00,202.2186538992821,203.21431440062256,197.34987465543003,198.02691650390625,69018500,0.0,0.0,-0.0314585305122953,207.7644762311663,204.85084126790363
2025-05-06 00:00:00-04:00,197.3498735756035,199.7792724238197,196.1650351546796,197.6485595703125,51216500,0.0,0.0,-0.0019106338687361335,206.23258100237166,204.11338857014974
2025-05-07 00:00:00-04:00,198.3057033514284,198.574535944944,192.41139491378885,195.39837646484372,68536700,0.0,0.0,-0.011384768552630375,204.2569078717913,203.20070037841796
2025-05-08 00:00:00-04:00,196.86199326420865,199.1818840286168,193.83517686729027,196.63299560546875,50478900,0.0,0.0,0.006318471846910034,202.30541338239397,202.40284423828126
2025-05-09 00:00:00-04:00,198.1364339272832,199.6697443694255,196.6827629534363,197.66847229003903,36453900,0.0,0.0,0.00526603727610353,200.31836155482702,201.56250610351563
2025-05-12 00:00:00-04:00,210.32995926202443,210.6290521628615,206.1227607044075,210.15049743652344,63775800,0.26,0.0,0.0631462620309502,199.99781581333704,201.33570861816406
2025-05-13 00:00:00-04:00,209.79158118866215,212.75257189298435,208.36592688565327,212.28399658203125,51909300,0.0,0.0,0.01015224408951143,201.11568777901786,201.03963979085287
2025-05-14 00:00:00-04:00,211.78549375335476,213.2909222465589,209.9411156617564,211.6858062744141,49325800,0.0,0.0,-0.002817877547288461,203.06695774623327,200.6884511311849
2025-05-15 00:00:00-04:00,210.310003869238,212.3139155435744,208.90427796298636,210.80848693847656,45029500,0.0,0.0,-0.004144441006121324,204.9469473702567,200.2847869873047
2025-05-16 00:00:00-04:00,211.71573318604425,211.92510277199543,209.1335944967917,210.6190643310547,54737900,0.0,0.0,-0.000898553042967154,207.12133135114397,200.5618138631185
2025-05-19 00:00:00-04:00,207.27923550566183,208.84446444770492,203.64029993754312,208.14659118652344,46140500,0.0,0.0,-0.011739075721298287,208.76613071986608,201.24794921875
2025-05-20 00:00:00-04:00,207.03996203611737,207.83753801206535,204.40797196423648,206.232421875,42496600,0.0,0.0,-0.009196255872420789,209.9895520891462,202.09994455973307
2025-05-21 00:00:00-04:00,204.54755595275296,206.4118779017609,200.10109516487896,201.47689819335935,59211800,0.0,0.0,-0.02305904977696982,208.7504664829799,203.09344787597655
2025-05-22 00:00:00-04:00,200.1010930441042,202.13489740214877,199.0941474443519,200.7491149902344,46742400,0.0,0.0,-0.003612241451258047,207.10262625558036,203.18551534016927
2025-05-23 00:00:00-04:00,193.0824298832746,197.10020219746903,192.8730755135501,194.67758178710935,78432900,0.0,0.0,-0.030244383410708453,204.6728799002511,203.3549784342448
2025-05-27 00:00:00-04:00,197.6983910952664,200.1309909415137,196.83102019804124,199.60260009765625,56288500,0.0,0.0,0.02529833309688767,203.07203892299108,203.43206125895182
